"Date","Exit Date","Ticker","Strategy","Direction","Strike","Entry $","Exit $","Contracts","P&L","Portfolio $","Risk %","Delta","IV%","DTE","Days Held","Compliant","Hard Risk","Premium Stop","Delta Stop","MAE","Prem Cap %","DTE Rem %","Exit Reason","Rolled","Assigned","Early Exit","Reposition","Emotion","Notes"
"2026-03-12","","TESLA","Covered Call","Sell","460","5.36","","5","0","180000","127.8","0.171","40.6","","","No","No","No","No","","","","","No","No","No","No","",""
"2026-03-10","","TESLA","Covered Call","Sell","450","6.59","","5","0","180000","125.0","0.228","40.6","","","No","No","No","No","","","","","No","No","No","No","",""
"2026-03-10","","TESLA","Covered Call","Sell","435","10.07","","5","0","180000","120.8","0.311","41","","","No","No","No","No","","","","","No","No","No","No","",""
"2026-02-27","2026-03-02","NVDA","Covered Call","Sell","190","10.32","11.17","1","-84.99999999999997","180000","10.6","","","","3","No","No","No","No","","","","DTE Target Hit","No","No","Yes","No","Greedy",""
"2026-02-26","","TESLA","Covered Call","Sell","440","30.24","","1","0","180000","24.4","","","","","","No","No","No","","","","","No","No","No","No","",""
"2026-02-25","2026-03-09","TESLA","Covered Call","Sell","445","8.75","3.2","4","2220","180000","98.9","","","","12","No","No","No","No","","","","Premium Target Hit","No","No","Yes","No","",""
"2026-02-25","2026-02-27","TESLA","Covered Call","Sell","430","1.62","0.14","3","443.99999999999994","180000","71.7","","","","2","","No","No","No","","","","","No","No","Yes","No","",""
"2026-02-24","2026-03-11","PLTR","Call","Sell","150","1.95","8.59","1","-664","180000","8.3","","","","15","No","No","No","No","","","","","No","No","Yes","No","Greedy",""
"2026-02-13","2026-02-25","TESLA","Cash Secured Put","Sell","375","8.23","4.73","1","350","180000","20.8","","","","12","","No","No","No","","","","","No","No","Yes","No","",""
"2026-01-30","2026-02-25","TESLA","Cash Secured Put","Sell","400","8.25","4.94","2","661.9999999999999","180000","44.4","","","","26","","No","No","No","","","","","No","No","No","No","",""
"2026-01-30","2026-02-25","TESLA","Cash Secured Put","Sell","385","7.48","2.32","2","1032","180000","42.8","","","","26","","No","No","No","","","","","No","No","Yes","No","",""
"2026-01-13","2026-02-11","PLTR","Call","Sell","165","6.49","0","1","649","180000","9.2","","","","29","","No","No","No","","","","","No","Yes","No","No","Greedy",""
"2025-12-30","2026-01-30","TESLA","Cash Secured Put","Sell","420","10.85","2.11","1","874","180000","23.3","","","","31","","No","No","No","","","","","No","No","Yes","No","",""
"2025-12-30","2026-01-06","TESLA","Cash Secured Put","Sell","410","8.57","3.6","3","1491.0000000000002","180000","68.3","","","","7","","No","No","No","","","","","No","No","Yes","No","",""
"2025-12-24","2025-12-30","TESLA","Covered Call","Sell","500","9.1","2.62","1","648","180000","27.8","","","","6","","No","No","No","","","","","No","No","Yes","No","",""
"2025-12-23","2025-12-30","TESLA","Covered Call","Sell","535","10","1.35","1","865","180000","29.7","","","","7","","No","No","No","","","","","No","No","Yes","No","",""
"2025-12-17","2025-12-30","TESLA","Covered Call","Sell","550","10.14","1.35","3","2637.0000000000005","180000","91.7","","","","13","","No","No","No","","","","","No","No","Yes","No","",""
"2025-12-10","2025-12-29","HIMS","Covered Call","Sell","45","1.51","0.16","3","405.00000000000006","180000","7.5","","","","19","","No","No","No","","","","","No","No","Yes","No","",""
"2025-12-05","2025-12-30","TESLA","Covered Call","Sell","480","17.46","5.87","1","1159","180000","26.7","","","","25","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-25","2025-12-10","TESLA","Cash Secured Put","Sell","360","7.76","0.66","1","710","180000","20.0","","","","15","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-25","2025-12-24","TESLA","Covered Call","Sell","470","7.1","10.89","1","-379.0000000000001","180000","26.1","","","","29","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-25","2025-12-05","TESLA","Covered Call","Sell","455","9.7","20","1","-1030","18000","252.8","","","","10","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-14","2025-12-03","TESLA","Cash Secured Put","Sell","365","9.24","0.13","2","1822","180000","40.6","","","","19","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-10","2025-11-13","TESLA","Covered Call","Sell","480","10.59","3.37","2","1444","180000","53.3","","","","3","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-10","2025-12-12","NVDA","Call","Sell","175","3.98","0","1","398","180000","9.7","","","","32","","No","No","No","","","","","No","No","No","No","Greedy",""
"2025-11-10","2025-11-28","HIMS","Covered Call","Sell","41","2.61","0","1","261","180000","2.3","","","","18","","No","No","No","","","","","No","No","No","No","Neutral",""
"2025-11-10","2025-11-28","HIMS","Cash Secured Put","Sell","40","1.95","0","2","390","180000","4.4","","","","18","","No","No","No","","","","","No","No","Yes","No","Greedy",""
"2025-11-07","2025-11-20","TESLA","Cash Secured Put","Sell","360","3.28","0.62","2","531.9999999999999","180000","40.0","","","","13","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-05","2025-11-07","TESLA","Covered Call","Sell","540","1.7","1.45","1","25","180000","30.0","","","","2","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-05","2025-11-07","TESLA","Covered Call","Sell","525","6.46","1.99","1","447","180000","29.2","","","","2","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-05","2025-11-07","TESLA","Covered Call","Sell","500","11.12","3.52","2","1520","180000","55.6","","","","2","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-04","2025-11-14","TESLA","Cash Secured Put","Sell","405","10.63","26.37","2","-3148","180000","45.0","","","","10","","No","No","No","","","","","Yes","No","No","No","","roll over to "
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","565","11.72","7.82","1","390.00000000000006","180000","31.4","","","","1","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","545","15.04","10.17","1","486.99999999999994","180000","30.3","","","","1","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","520","20.73","14.28","2","1290.0000000000002","180000","57.8","","","","1","","No","No","No","","","","","No","No","Yes","No","",""
"2025-11-03","2025-11-04","TESLA","Covered Call","Sell","495","5.49","1.13","2","872.0000000000001","180000","55.0","","","","1","","No","No","No","","","","","No","No","Yes","No","Greedy",""
"2025-10-29","2025-12-19","HIMS","Call","Buy","49","6.52","0","1","-652","180000","2.7","","","","51","","No","No","No","","","","","No","No","No","No","Greedy",""
"2025-10-29","2025-10-29","HIMS","Call","Buy","55","4.55","4.49","1","-5.999999999999961","180000","3.1","","","","0","","No","No","No","","","","","No","No","Yes","No","FOMO",""
"2025-10-28","2025-11-03","TESLA","Covered Call","Sell","480","9.95","10.04","2","-17.99999999999997","180000","53.3","","","","6","","No","No","No","","","","","Yes","No","No","No","Anxious",""
"2025-10-27","2025-11-07","TESLA","Covered Call","Sell","485","5.93","0.05","3","1764","180000","80.8","","","","11","","No","No","No","","","","","No","No","No","No","Neutral",""
"2025-10-24","2025-11-07","TESLA","Cash Secured Put","Sell","415","9.22","0","1","922.0000000000001","180000","23.1","","","","14","","No","No","No","","","","","No","No","No","No","",""
"2025-10-21","2025-10-24","TESLA","Covered Call","Sell","472.5","10.35","2.22","5","4064.999999999999","180000","131.3","","","","3","","No","No","No","","","","","No","No","Yes","No","Neutral",""
"2025-10-20","2025-10-24","TESLA","Covered Call","Sell","462.5","13.77","3.43","1","1034","180000","25.7","","","","4","","No","No","No","","","","","No","No","Yes","No","Neutral","1st option trade contract"